C,SETP.WORLD,FPP_DCF,AEMO,PUBLIC,2025/04/29,18:23:21,0000000461200046,FPP,0000000461200046
I,FPP,FORECAST_DEFAULT_CF,1,FPP_UNITID,CONSTRAINTID,EFFECTIVE_START_DATETIME,EFFECTIVE_END_DATETIME,VERSIONNO,BIDTYPE,REGIONID,DEFAULT_CONTRIBUTION_FACTOR,DCF_REASON_FLAG,DCF_ABS_NEGATIVE_PERF_TOTAL,SETTLEMENTS_UNITID
D,FPP,FORECAST_DEFAULT_CF,1,BUTLERSG,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,-0.00001067,0,356.21633,BUTLERSG
D,FPP,FORECAST_DEFAULT_CF,1,BW01,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,0.00000000,0,356.21633,BW01
D,FPP,FORECAST_DEFAULT_CF,1,BW02,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,0.00000000,0,356.21633,BW02
D,FPP,FORECAST_DEFAULT_CF,1,BW03,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00111345,0,356.21633,BW03
D,FPP,FORECAST_DEFAULT_CF,1,BW04,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00092152,0,356.21633,BW04
D,FPP,FORECAST_DEFAULT_CF,1,BWTR1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00026346,0,356.21633,BWTR1
D,FPP,FORECAST_DEFAULT_CF,1,CALL_B_1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00066249,0,356.21633,CALL_B_1
D,FPP,FORECAST_DEFAULT_CF,1,CALL_B_2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00007456,0,356.21633,CALL_B_2
D,FPP,FORECAST_DEFAULT_CF,1,CAPBES1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00052729,0,356.21633,CAPBES1
D,FPP,FORECAST_DEFAULT_CF,1,CAPTL_WF,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00123310,0,356.21633,CAPTL_WF
D,FPP,FORECAST_DEFAULT_CF,1,CATHROCK,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00136956,0,356.21633,CATHROCK
D,FPP,FORECAST_DEFAULT_CF,1,CBWWBA1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00005112,0,356.21633,CBWWBA1
D,FPP,FORECAST_DEFAULT_CF,1,CETHANA,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,0.00000000,0,356.21633,CETHANA
D,FPP,FORECAST_DEFAULT_CF,1,CG1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00008363,0,356.21633,CG1
D,FPP,FORECAST_DEFAULT_CF,1,CG2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00024659,0,356.21633,CG2
D,FPP,FORECAST_DEFAULT_CF,1,CG3,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00006886,0,356.21633,CG3
D,FPP,FORECAST_DEFAULT_CF,1,CG4,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00016948,0,356.21633,CG4
D,FPP,FORECAST_DEFAULT_CF,1,CHALLHWF,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00066996,0,356.21633,CHALLHWF
D,FPP,FORECAST_DEFAULT_CF,1,CHBESS1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00021790,0,356.21633,CHBESS1
D,FPP,FORECAST_DEFAULT_CF,1,CHILDSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00383270,0,356.21633,CHILDSF1
D,FPP,FORECAST_DEFAULT_CF,1,CHYTWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00082980,0,356.21633,CHYTWF1
D,FPP,FORECAST_DEFAULT_CF,1,CLARESF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00667347,0,356.21633,CLARESF1
D,FPP,FORECAST_DEFAULT_CF,1,CLEMGPWF,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00077023,0,356.21633,CLEMGPWF
D,FPP,FORECAST_DEFAULT_CF,1,CLERMSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00269707,0,356.21633,CLERMSF1
D,FPP,FORECAST_DEFAULT_CF,1,CLOVER,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00000385,0,356.21633,CLOVER
D,FPP,FORECAST_DEFAULT_CF,1,CLRKCWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00666398,0,356.21633,CLRKCWF1
D,FPP,FORECAST_DEFAULT_CF,1,CLRKCWF2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,0.00000000,0,356.21633,CLRKCWF2
D,FPP,FORECAST_DEFAULT_CF,1,CLUNY,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,-0.00012860,0,356.21633,CLUNY
D,FPP,FORECAST_DEFAULT_CF,1,CNUNDAWF,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00081672,0,356.21633,CNUNDAWF
D,FPP,FORECAST_DEFAULT_CF,1,COHUNSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00024120,0,356.21633,COHUNSF1
D,FPP,FORECAST_DEFAULT_CF,1,COLEASF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00083124,0,356.21633,COLEASF1
D,FPP,FORECAST_DEFAULT_CF,1,COLUMSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00553972,0,356.21633,COLUMSF1
D,FPP,FORECAST_DEFAULT_CF,1,COLWF01,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00355787,0,356.21633,COLWF01
D,FPP,FORECAST_DEFAULT_CF,1,COOPGWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00742445,0,356.21633,COOPGWF1
D,FPP,FORECAST_DEFAULT_CF,1,CPP_3,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,0.00000000,0,356.21633,CPP_3
D,FPP,FORECAST_DEFAULT_CF,1,CPP_4,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00137543,0,356.21633,CPP_4
D,FPP,FORECAST_DEFAULT_CF,1,CPSA,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00064402,0,356.21633,CPSA
D,FPP,FORECAST_DEFAULT_CF,1,CROOKWF2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00347230,0,356.21633,CROOKWF2
D,FPP,FORECAST_DEFAULT_CF,1,CROOKWF3,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00224164,0,356.21633,CROOKWF3
D,FPP,FORECAST_DEFAULT_CF,1,CROWLWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00091015,0,356.21633,CROWLWF1
D,FPP,FORECAST_DEFAULT_CF,1,CRURWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00271363,0,356.21633,CRURWF1
D,FPP,FORECAST_DEFAULT_CF,1,CRWASF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00050857,0,356.21633,CRWASF1
D,FPP,FORECAST_DEFAULT_CF,1,CSPVPS1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00206532,0,356.21633,CSPVPS1
